,Coal,Copper,Cotton,Fish_Meal,Hard_Logs,Hides,Iron_Ore,Lead,Nickel,Rubber
1/1/1992,39.5,2197.085799,57.08166631,535.6073947,191.6800028,69.43979899,14.31,514.8557739,7616.530599,36.88496399
4/1/1992,39.5,2243.307937,60.82166672,544.7015344,189.4033305,77.57504272,14.31,535.0084635,7318.08724,39.36961238
7/1/1992,39.5,2486.78973,60.56333669,519.2399006,187.5766652,75.71996053,14.31,637.7896322,7238.165365,39.87342962
10/1/1992,35.75,2212.065448,53.26916631,471.3331093,218.1033376,80.72429657,14.31,486.4013367,5889.135091,40.1958046
1/1/1993,32.33333333,2209.591855,59.76548386,450.2410883,290.6933339,80.91948446,12.58,419.1099854,5991.254395,40.04700597
4/1/1993,31,1870.281003,59.90777461,398.7667569,492.6800028,79.63484701,12.58,408.9441935,5769.869303,37.03915914
7/1/1993,31,1912.220398,56.21750005,384.5025606,433.8299967,78.75685628,12.58,385.2860718,4722.567708,37.11452993
10/1/1993,31,1667.731036,56.18690364,384.5648169,338.7166646,80.80699921,12.58,416.0275981,4748.976563,36.62825012
1/1/1994,30.5,1861.773433,76.56083171,395.8685425,302.8999939,76.37015533,11.45,475.6472371,5668.194173,38.94059881
4/1/1994,31.5,2129.653187,85.16249847,388.374855,350.7666728,86.94444529,11.45,480.2518311,5923.388509,45.03174845
7/1/1994,33.1,2453.943013,78.08249919,409.7487695,330.2865601,91.32865906,11.45,587.5234375,6152.463053,57.13655217
10/1/1994,34.1,2776.756387,79.05694326,418.6385588,281.3333333,92.61537425,11.45,651.4463094,7583.684245,63.15715917
